stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
84,84,Beaver Ruin Rd at Bolton Cir IB,,33.934073,-84.171288,,,0,,0
85,85,Beaver Ruin Rd & Price Place IB,,33.942777,-84.201469,,,0,,0
86,86,Beaver Ruin Rd & Price Place (across) OB,,33.942983,-84.201331,,,0,,0
87,87,Beaver Ruin Rd & St. Patricks Church OB,,33.935094,-84.182596,,,0,,0
88,88,Beaver Ruin Rd at Family Denstistry IB,,33.941996,-84.198799,,,0,,0
89,89,Beaver Ruin Rd & Dept of Labor IB,,33.936694,-84.186198,,,0,,0
90,90,Beaver Ruin Rd & Rockborough Tr (DMV),,33.936633,-84.185361,,,0,,0
91,91,Beaver Ruin Rd at Huddersfield Way IB,,33.939451,-84.193154,,,0,,0
92,92,Beaver Ruin Rd & Indian Trail Rd OB,,33.933096,-84.179327,,,0,,0
94,94,Beaver Ruin Rd at Lowes IB,,33.932784,-84.175557,,,0,,0
95,95,Beaver Ruin Rd at Newbury Rd IB,,33.939041,-84.191337,,,0,,0
96,96,Beaver Ruin Rd at Pinnacle Way IB,,33.934758,-84.183176,,,0,,0
97,97,Beaver Ruin Rd at Plaza IB,,33.933142,-84.180305,,,0,,0
100,100,Beaver Ruin Rd & Beaver Ridge Elementary,,33.933625,-84.173503,,,0,,0
101,101,Beaver Ruin Rd & Sourwood Rd OB,,33.935664,-84.169088,,,0,,0
102,102,Beaver Ruin Rd & Twin Creek Dr,,33.940049,-84.194581,,,0,,0
103,103,Beaver Ruin Rd & NE Community Church OB,,33.941503,-84.19757,,,0,,0
104,104,Beaver Ruin Rd & Wexford Dr,,33.937859,-84.18851,,,0,,0
105,105,N Berkeley Lake Rd & Cross Road Dist,,33.969913,-84.154171,,,0,,0
106,106,N Berkeley Lake Rd & The Estates Apts OB,,33.9713,-84.155256,,,0,,0
107,107,N Berkeley Lake Rd & Marquis @ Nberkeley,,33.968887,-84.151212,,,0,,0
108,108,N Berkeley Lake Rd & Wal-Mart OB,,33.969059,-84.149375,,,0,,0
109,109,Pleasant Hill Rd & Lawrenceville Hwy OB,,33.907193,-84.111582,,,0,,0
111,111,Best Friend Rd & Best Friend Ct OB,,33.919388,-84.222621,,,0,,0
112,112,Best Friend Rd & Best Friend Ct IB,,33.919472,-84.222317,,,0,,0
113,113,Brook Hollow Pkwy & Best Friend Rd OB,,33.921698,-84.219948,,,0,,0
114,114,Best Friend Rd & Brook Hollow Pkwy,,33.921325,-84.220014,,,0,,0
115,115,Best Friend Rd & Nancy Hanks Dr OB,,33.916913,-84.22609,,,0,,0
116,116,Best Friend Rd & Nancy Hanks Dr IB,,33.916796,-84.226034,,,0,,0
117,117,Best Friend Rd & Royal Palm Ct OB,,33.915618,-84.233462,,,0,,0
118,118,Best Friend Rd & Royal Palm Ct IB,,33.915501,-84.23308,,,0,,0
119,119,Best Friend Rd & Skyland Ct OB,,33.916055,-84.229996,,,0,,0
120,120,Best Friend Rd & Skyland Ct IB,,33.915943,-84.229968,,,0,,0
121,121,Best Friend Rd & Button Gwinnett Dr IB,,33.913808,-84.236366,,,0,,0
122,122,Button Gwinnett Dr & Mimms Dr,,33.917448,-84.240083,,,0,,0
123,123,Button Gwinnett Dr & Mimms Dr IB,,33.917404,-84.240192,,,0,,0
124,124,Brook Hollow Pkwy & FedEx Entrance,,33.919149,-84.212826,,,0,,0
125,125,Boggs Rd & Duluth Hwy 120 IB,,33.977217,-84.099943,,,0,,0
126,126,Boggs Rd & Autumn Village Ct,,33.955282,-84.094484,,,0,,0
127,127,Boggs Rd & Astor Place Apartments,,33.951301,-84.092138,,,0,,0
128,128,Boggs Rd & Astor Place Apts,,33.951412,-84.09188,,,0,,0
129,129,Boggs Rd & Magnolia Pointe Apts,,33.954013,-84.093701,,,0,,0
130,130,Boggs Rd & Post Office (Main Entrance),,33.958722,-84.093975,,,0,,0
131,131,Boggs Rd & Quick Trip IB,,33.97078,-84.09843,,,0,,0
132,132,Boggs Rd & Meridian Apts,,33.954369,-84.094291,,,0,,0
133,133,Boggs Rd & Old Norcross Rd,,33.949847,-84.091046,,,0,,0
134,134,Boggs Rd & NCR1 (side entrance) OB,,33.970779,-84.098714,,,0,,0
135,135,Boggs Rd & Pinemeadow Ct (GE) OB,,33.97292,-84.099645,,,0,,0
136,136,Boggs Rd & Post Office  (First Entrance),,33.958551,-84.093741,,,0,,0
137,137,Boggs Rd & Post Office (3rd entrance),,33.956658,-84.094013,,,0,,0
138,138,Old Norcross Rd at Brass Key Ct,,33.954118,-84.035731,,,0,,0
139,139,Breckinridge Blvd & Duluth Hwy,,33.976421,-84.083151,,,0,,0
142,142,Breckinridge Blvd & Marcos Pizza OB,,33.95663,-84.112053,,,0,,0
143,143,3350 Breckinridge Blvd,,33.954204,-84.121112,,,0,,0
144,144,3350 Breckinridge Blvd (across),,33.954927,-84.120044,,,0,,0
145,145,Breckinridge Blvd & The Enclave @ Breck,,33.96504,-84.085876,,,0,,0
147,147,Breckinridge Blvd & Friendly Village,,33.975116,-84.08363,,,0,,0
