trip_id,arrival_time,departure_time,stop_id,stop_sequence
87436,,,20606,3
87436,,,20608,4
87436,10:07:00,10:07:00,20609,5
87436,,,20610,6
87436,10:12:00,10:12:00,20611,7
87436,,,20612,8
87436,,,20614,9
87436,,,20615,10
87436,,,20616,11
87436,10:28:00,10:28:00,20631,12
87436,,,20617,13
87436,10:33:00,10:33:00,20618,14
87436,,,20619,15
87436,,,20622,16
87436,,,20620,17
87436,10:42:00,10:42:00,20621,18
87436,10:47:00,10:47:00,20623,19
87437,11:00:00,11:00:00,20605,1
87437,,,20730,2
87437,,,20606,3
87437,,,20608,4
87437,11:07:00,11:07:00,20609,5
87437,,,20610,6
87437,11:12:00,11:12:00,20611,7
87437,,,20612,8
87437,,,20614,9
87437,,,20615,10
87437,,,20616,11
87437,11:28:00,11:28:00,20631,12
87437,,,20617,13
87437,11:33:00,11:33:00,20618,14
87437,,,20619,15
87437,,,20622,16
87437,,,20620,17
87437,11:42:00,11:42:00,20621,18
87437,11:47:00,11:47:00,20623,19
87438,12:00:00,12:00:00,20605,1
87438,,,20730,2
87438,,,20606,3
87438,,,20608,4
87438,12:07:00,12:07:00,20609,5
87438,,,20610,6
87438,12:12:00,12:12:00,20611,7
87438,,,20612,8
87438,,,20614,9
87438,,,20615,10
87438,,,20616,11
87438,12:28:00,12:28:00,20631,12
87438,,,20617,13
87438,12:33:00,12:33:00,20618,14
87438,,,20619,15
87438,,,20622,16
87438,,,20620,17
87438,12:42:00,12:42:00,20621,18
87438,12:47:00,12:47:00,20623,19
87439,13:00:00,13:00:00,20605,1
87439,,,20730,2
87439,,,20606,3
87439,,,20608,4
87439,13:07:00,13:07:00,20609,5
87439,,,20610,6
87439,13:12:00,13:12:00,20611,7
87439,,,20612,8
87439,,,20614,9
87439,,,20615,10
87439,,,20616,11
87439,13:28:00,13:28:00,20631,12
87439,,,20617,13
87439,13:33:00,13:33:00,20618,14
87439,,,20619,15
87439,,,20622,16
87439,,,20620,17
87439,13:42:00,13:42:00,20621,18
87439,13:47:00,13:47:00,20623,19
87440,14:00:00,14:00:00,20605,1
87440,,,20730,2
87440,,,20606,3
87440,,,20608,4
87440,14:07:00,14:07:00,20609,5
87440,,,20610,6
87440,14:12:00,14:12:00,20611,7
87440,,,20612,8
87440,,,20614,9
87440,,,20615,10
87440,,,20616,11
87440,14:28:00,14:28:00,20631,12
87440,,,20617,13
87440,14:33:00,14:33:00,20618,14
87440,,,20619,15
87440,,,20622,16
87440,,,20620,17
87440,14:42:00,14:42:00,20621,18
87440,14:47:00,14:47:00,20623,19
87441,15:00:00,15:00:00,20605,1
87441,,,20730,2
87441,,,20606,3
87441,,,20608,4
87441,15:07:00,15:07:00,20609,5
87441,,,20610,6
87441,15:12:00,15:12:00,20611,7
87441,,,20612,8
87441,,,20614,9
87441,,,20615,10
87441,,,20616,11
87441,15:28:00,15:28:00,20631,12
87441,,,20617,13
87441,15:33:00,15:33:00,20618,14
87441,,,20619,15
87441,,,20622,16
87441,,,20620,17
87441,15:42:00,15:42:00,20621,18
87441,15:47:00,15:47:00,20623,19
87442,16:00:00,16:00:00,20605,1
87442,,,20730,2
87442,,,20606,3
87442,,,20608,4
87442,16:07:00,16:07:00,20609,5
87442,,,20610,6
87442,16:12:00,16:12:00,20611,7
87442,,,20612,8
87442,,,20614,9
87442,,,20615,10
87442,,,20616,11
87442,16:28:00,16:28:00,20631,12
87442,,,20617,13
