trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
214020,30,1,"Hamilton E. Holmes Station",,0,2936602,shp-30-01,0,0
22090,20,3,"Cumberland Transfer Center",,0,2973709,shp-20-03,0,0
224070,20,2,"Marietta Transfer Center",,1,2949207,shp-20-54,0,0
226090,20,3,"Marietta Transfer Center",,1,2973709,shp-20-54,0,0
227070,20,2,"Cumberland Transfer Center",,0,2948607,shp-20-03,0,0
23020,10,1,"Arts Center Station",,0,2935502,shp-10-03,0,0
231070,RAPID,2,"Marietta Transfer Center limited stops",,1,2950007,shp-Rapid-51,0,0
238070,BLUE,2,"Circ Blue - Battery/Cumberland Transfer Center",,1,2951107,shp-Blue-02,0,0
247020,10,1,"Arts Center Station",,0,2934002,shp-10-03,0,0
253090,40,3,"KSU-Kennesaw Campus",,0,2976709,shp-40-01,0,0
260070,40,2,"Marietta Transfer Center",,1,2950607,shp-40-51,0,0
262010,40,4,"Marietta Transfer Center",,1,2845601,shp-40-51,0,0
28070,RAPID,2,"Marietta Transfer Center limited stops",,1,2950207,shp-Rapid-51,0,0
29070,50,2,"Cumberland Transfer Center",,0,2948507,shp-50-01,0,0
300090,RAPID,3,"Arts Center Station with limited stops",,0,2977209,shp-Rapid-01,0,0
93070,40,2,"KSU-Kennesaw Campus",,0,2950607,shp-40-01,0,0
932090,BLUE,3,"Circ Blue - Battery/Cumberland Transfer Center",,1,2981409,shp-Blue-02,0,0
939010,BLUE,4,"Circ Blue - Battery/Cumberland Transfer Center",,1,2846401,shp-Blue-02,0,0
94070,40,2,"Marietta Transfer Center",,1,2950507,shp-40-51,0,0
943020,45,1,"Marietta Transfer Center",,1,2943002,shp-45-51,0,0
946090,50,3,"Marietta Transfer Center",,1,2974109,shp-50-51,0,0
947020,15,1,"Marietta Transfer Center",,1,2935402,shp-15-51,0,0
952020,30,1,"Hamilton E. Holmes Station",,0,2934002,shp-30-01,0,0
968020,20,1,"Marietta Transfer Center",,1,2935702,shp-20-54,0,0
971020,50,1,"Marietta Transfer Center",,1,2935102,shp-50-51,0,0
977090,20,3,"Cumberland Transfer Center",,0,2974709,shp-20-03,0,0
987020,25,1,"Cumberland Transfer Center",,1,2939902,shp-25-01,0,0
992090,20,3,"Cumberland Transfer Center",,0,2973809,shp-20-03,0,0
993070,RAPID,2,"KSU-Kennesaw Campus limited stops",,1,2950307,shp-Rapid-52,0,0
