stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
124,920124,"County Services Pkwy at Al Bishop Dr",,33.903894,-84.582092,,,,,,0
125,920125,"County Services Pkwy at Austell Rd",,33.898654,-84.573372,,,,,,0
126,920126,"Austell Rd at Arkose Dr",,33.897035,-84.575092,,,,,,0
127,920127,"Windy Hill Rd at Cherrywood Ln",,33.894943,-84.572017,,,,,,0
128,920128,"Windy Hill Rd at Favor Rd",,33.894780,-84.564717,,,,,,0
129,920129,"Windy Hill Rd at Larose Dr",,33.894692,-84.556247,,,,,,0
130,920130,"Windy Hill Rd at Benson Poole Rd",,33.894481,-84.544480,,,,,,0
131,920131,"Windy Hill Rd at Old Concord Rd",,33.894420,-84.540506,,,,,,0
132,920132,"Windy Hill Rd at Beaver Creek Rd",,33.894312,-84.530768,,,,,,0
133,920133,"Windy Hill Rd at Belmont Cir",,33.894198,-84.524070,,,,,,0
134,920134,"Windy Hill Rd at Roswell St",,33.895618,-84.499780,,,,,,0
135,920135,"Windy Hill Rd at Cobb Pkwy",,33.902476,-84.487678,,,,,,0
136,920136,"Windy Hill Rd at Cobb Pkwy",,33.903350,-84.484770,,,,,,0
137,920137,"Windy Hill Rd at N Park Pl",,33.903154,-84.481771,,,,,,0
138,920138,"Windy Hill Rd at S Park Pl",,33.901218,-84.479583,,,,,,0
139,920139,"Windy Hill Rd at Corporate Plaza Pkwy",,33.901005,-84.478043,,,,,,0
142,920142,"Windy Hill Rd at Powers Ferry Rd",,33.904928,-84.466065,,,,,,0
144,920144,"Spring Rd SE at Galleria Ln",,33.883419,-84.482110,,,,,,0
145,920145,"Spring Rd SE at Carolyn Dr",,33.883474,-84.486879,,,,,,0
146,920146,"Spring Rd SE at Cumberland Valley Dr",,33.883808,-84.499663,,,,,,0
147,920147,"Spring Rd at Jonquil Dr",,33.882256,-84.505051,,,,,,0
148,920148,"Concord Rd SE at Atlanta Rd",,33.880345,-84.514041,,,,,,0
149,920149,"Concord Rd Se + Khuan's Hair Design/Arkle Veterina",,33.876264,-84.524750,,,,,,0
150,920150,"S Cobb Dr at Mill Pond Rd",,33.860916,-84.518737,,,,,,0
151,920151,"S Cobb Dr",,33.856839,-84.514417,,,,,,0
152,920152,"S Cobb Dr at King Springs Rd",,33.860915,-84.518323,,,,,,0
153,920153,"S Cobb Dr at Lake Dr",,33.871064,-84.528043,,,,,,0
154,920154,"S Cobb Dr at Concord Rd",,33.876113,-84.531386,,,,,,0
155,920155,"S Cobb Dr at Ask-Kay Dr",,33.880092,-84.532941,,,,,,0
156,920156,"S Cobb Dr at Plaza Dr",,33.882983,-84.534007,,,,,,0
157,920157,"S Cobb Dr at Powder Springs St",,33.887313,-84.535645,,,,,,0
158,920158,"S Cobb Dr at Glendale Pl",,33.892518,-84.537598,,,,,,0
159,920159,"S Cobb Dr at Windy Hill Rd",,33.895111,-84.538572,,,,,,0
160,920160,"S Cobb Dr at Old Concord Rd",,33.900251,-84.540545,,,,,,0
161,920161,"S Cobb Dr at Pat Mell Rd",,33.903282,-84.541694,,,,,,0
162,920162,"S Cobb Dr at Dink Ln",,33.904546,-84.542198,,,,,,0
